,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
44,44,ATL,Ryan Rollins,Toledo,1,11,60,21,10,6,0.316,0.333,1,5.5,1.9,0.9,0.5,-0.3,-0.251,-16.8,-0.2
45,45,CHO,Josh Minott,Memphis,1,6,15,10,3,2,0.6,0,1,2.5,1.7,0.5,0.3,0.1,0.433,14.7,0.1
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,1,8,44,7,5,3,0.273,0.125,,5.5,0.9,0.6,0.4,0.1,0.059,-1.3,0
48,48,MIN,Kendall Brown,Baylor,1,6,40,9,6,3,0.571,0,0.5,6.7,1.5,1,0.5,0.1,0.082,-2.8,0
49,49,CLE,Isaiah Mobley,USC,1,8,26,9,11,0,0.5,0.5,,3.3,1.1,1.4,0,0.1,0.158,1.2,0
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,1,11,42,15,6,0,0.375,0.2,1,3.8,1.4,0.5,0,0,-0.017,-7.3,-0.1
52,52,NOP,Karlo Matković,,,,,,,,,,,,,,,,,,
53,53,BOS,JD Davison,Alabama,1,3,8,2,1,1,0.25,0,,2.7,0.7,0.3,0.3,0,-0.275,-13.5,0
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,,,,,,,,,,,,,,,,,
56,56,CLE,Luke Travers,,,,,,,,,,,,,,,,,,
57,57,POR,Jabari Walker,Colorado,1,21,182,43,50,11,0.381,0.25,0.667,8.7,2,2.4,0.5,0.2,0.054,-4.5,-0.1
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
,,,,,Milwaukee Bucks forfeited their Second Round pick.,,,,,,,,,,,,,,,,
,,,,,Miami Heat forfeited their Second Round pick.,,,,,,,,,,,,,,,,
